EBELN,EBELP,MATNR,WERKS,LGORT,MENGE,NETPR,PEINH,MWSKZ,EINDT
451000,86,M431,US01,0001,7,604.33,1,A1,2025-10-09
451000,63,M951,US01,0001,11,265.1,1,A0,2025-11-13
451001,21,M954,US01,0001,16,546.03,1,A0,2025-11-09
451001,63,M380,US01,0001,8,837.2,1,A1,2025-09-06
451001,59,M957,US01,0002,2,331.39,1,A1,2025-09-11
451001,12,M877,US01,0002,3,874.6,1,V0,2025-11-05
451002,90,M142,US01,0002,16,532.92,1,A0,2025-10-03
451002,14,M455,US01,0002,9,98.34,1,A1,2025-11-05
451002,78,M360,US01,0001,10,266.51,1,V0,2025-10-04
451003,55,M968,US01,0002,16,345.7,1,A0,2025-09-09
451003,96,M920,US01,0001,10,172.24,1,V0,2025-10-13
451003,89,M558,US01,0001,10,753.57,1,V0,2025-10-06
451004,60,M877,US01,0001,7,564.77,1,A0,2025-09-05
451005,52,M315,US01,0001,20,828.98,1,A1,2025-09-28
451006,30,M748,US01,0002,12,865.77,1,A0,2025-09-16
451007,57,M878,US01,0001,16,579.7,1,A1,2025-10-18
451007,14,M649,US01,0002,3,362.78,1,A1,2025-09-12
451008,25,M831,US01,0002,14,765.64,1,V0,2025-09-01
451008,44,M750,US01,0001,3,430.19,1,V0,2025-10-18
451008,43,M894,US01,0001,8,256.42,1,A0,2025-09-28
451009,77,M414,US01,0002,14,615.57,1,A0,2025-09-22
451009,79,M899,US01,0002,15,881.05,1,V0,2025-10-31
451009,31,M179,US01,0001,7,671.14,1,A1,2025-10-04
451009,17,M293,US01,0002,7,417.32,1,A1,2025-11-12
451010,25,M256,US01,0001,6,598.11,1,A0,2025-09-06
451010,17,M211,US01,0001,9,153.53,1,A0,2025-08-20
451010,48,M748,US01,0001,9,167.32,1,V0,2025-09-06
451011,49,M968,US01,0002,18,141.63,1,V0,2025-09-10
451011,92,M833,US01,0002,19,217.35,1,A1,2025-08-25
